filename,fragment_index,fragment_bp
48.MCP_genome.fasta,1,12353
48.MCP_genome.fasta,2,2446
48.MCP_genome.fasta,3,2232
48.MCP_genome.fasta,4,465
48.MCP_genome.fasta,5,52
48.MCP_genome.fasta,6,26
48.MCP_genome.fasta,7,26
48.MCP_genome.fasta,8,26
48.MCP_genome.fasta,9,26
48.MCP_genome.fasta,10,16
48.MCP_genome.fasta,11,16
48.MCP_genome.fasta,12,16
48.MCP_genome.fasta,13,16
48.MCP_genome.fasta,14,16
48.MCP_genome.fasta,15,16
48.MCP_genome.fasta,16,15
48.MCP_genome.fasta,17,15
48.MCP_genome.fasta,18,15
48.MCP_genome.fasta,19,15
48.MCP_genome.fasta,20,15
48.MCP_genome.fasta,21,15
48.MCP_genome.fasta,22,15
48.MCP_genome.fasta,23,15
Ackermannviridae_genome.fasta,1,66473
Ackermannviridae_genome.fasta,2,18585
Ackermannviridae_genome.fasta,3,49
Ackermannviridae_genome.fasta,4,49
Ackermannviridae_genome.fasta,5,49
Ackermannviridae_genome.fasta,6,49
Ackermannviridae_genome.fasta,7,49
Ackermannviridae_genome.fasta,8,49
Ackermannviridae_genome.fasta,9,49
Ackermannviridae_genome.fasta,10,49
Ackermannviridae_genome.fasta,11,49
Aliceevansviridae_genome.fasta,1,26724
Aliceevansviridae_genome.fasta,2,23190
Aliceevansviridae_genome.fasta,3,10967
Aliceevansviridae_genome.fasta,4,6104
Aliceevansviridae_genome.fasta,5,3795
Aliceevansviridae_genome.fasta,6,47
Aliceevansviridae_genome.fasta,7,47
Aliceevansviridae_genome.fasta,8,47
Aliceevansviridae_genome.fasta,9,47
Aliceevansviridae_genome.fasta,10,47
Aliceevansviridae_genome.fasta,11,47
Aliceevansviridae_genome.fasta,12,47
Aliceevansviridae_genome.fasta,13,47
Aliceevansviridae_genome.fasta,14,37
Aliceevansviridae_genome.fasta,15,37
Aliceevansviridae_genome.fasta,16,37
Aliceevansviridae_genome.fasta,17,37
Aliceevansviridae_genome.fasta,18,35
Aliceevansviridae_genome.fasta,19,35
Aliceevansviridae_genome.fasta,20,35
Aliceevansviridae_genome.fasta,21,35
Aliceevansviridae_genome.fasta,22,35
Aliceevansviridae_genome.fasta,23,35
Aliceevansviridae_genome.fasta,24,35
Aliceevansviridae_genome.fasta,25,30
Aliceevansviridae_genome.fasta,26,30
Aliceevansviridae_genome.fasta,27,30
Aliceevansviridae_genome.fasta,28,30
Autographiviridae_genome.fasta,1,47420
Autographiviridae_genome.fasta,2,27586
Autographiviridae_genome.fasta,3,21474
Autographiviridae_genome.fasta,4,18083
Autographiviridae_genome.fasta,5,14619
Autographiviridae_genome.fasta,6,8190
Autographiviridae_genome.fasta,7,7136
Autographiviridae_genome.fasta,8,532
Autographiviridae_genome.fasta,9,49
Autographiviridae_genome.fasta,10,49
Autographiviridae_genome.fasta,11,49
Autographiviridae_genome.fasta,12,48
Autographiviridae_genome.fasta,13,48
Autographiviridae_genome.fasta,14,46
Autographiviridae_genome.fasta,15,46
Autographiviridae_genome.fasta,16,46
Autographiviridae_genome.fasta,17,46
Autographiviridae_genome.fasta,18,46
Autographiviridae_genome.fasta,19,46
Autographiviridae_genome.fasta,20,43
Autographiviridae_genome.fasta,21,43
Autographiviridae_genome.fasta,22,43
Autographiviridae_genome.fasta,23,43
Autographiviridae_genome.fasta,24,43
Autographiviridae_genome.fasta,25,43
Autographiviridae_genome.fasta,26,43
Autographiviridae_genome.fasta,27,43
Autographiviridae_genome.fasta,28,35
Autographiviridae_genome.fasta,29,35
Autographiviridae_genome.fasta,30,35
Autographiviridae_genome.fasta,31,35
Autographiviridae_genome.fasta,32,35
Autographiviridae_genome.fasta,33,35
Autographiviridae_genome.fasta,34,35
Autographiviridae_genome.fasta,35,35
Autographiviridae_genome.fasta,36,35
Autographiviridae_genome.fasta,37,30
Autographiviridae_genome.fasta,38,30
Autographiviridae_genome.fasta,39,30
Autographiviridae_genome.fasta,40,30
Autographiviridae_genome.fasta,41,30
Autographiviridae_genome.fasta,42,30
Casjensviridae_genome.fasta,1,15205
Casjensviridae_genome.fasta,2,13063
Casjensviridae_genome.fasta,3,10913
Casjensviridae_genome.fasta,4,7310
Casjensviridae_genome.fasta,5,6488
Casjensviridae_genome.fasta,6,2516
Casjensviridae_genome.fasta,7,1889
Casjensviridae_genome.fasta,8,1165
Casjensviridae_genome.fasta,9,47
Casjensviridae_genome.fasta,10,47
Casjensviridae_genome.fasta,11,47
Casjensviridae_genome.fasta,12,47
Casjensviridae_genome.fasta,13,44
Casjensviridae_genome.fasta,14,44
Casjensviridae_genome.fasta,15,44
Casjensviridae_genome.fasta,16,44
Casjensviridae_genome.fasta,17,44
Casjensviridae_genome.fasta,18,44
Casjensviridae_genome.fasta,19,30
Casjensviridae_genome.fasta,20,30
Casjensviridae_genome.fasta,21,30
Casjensviridae_genome.fasta,22,30
Casjensviridae_genome.fasta,23,30
Casjensviridae_genome.fasta,24,30
Casjensviridae_genome.fasta,25,30
Casjensviridae_genome.fasta,26,30
Casjensviridae_genome.fasta,27,18
Casjensviridae_genome.fasta,28,18
Casjensviridae_genome.fasta,29,18
Casjensviridae_genome.fasta,30,18
Casjensviridae_genome.fasta,31,18
Casjensviridae_genome.fasta,32,18
Casjensviridae_genome.fasta,33,14
Casjensviridae_genome.fasta,34,14
Casjensviridae_genome.fasta,35,14
Demerecviridae_genome.fasta,1,37620
Demerecviridae_genome.fasta,2,19458
Demerecviridae_genome.fasta,3,14754
Demerecviridae_genome.fasta,4,12967
Demerecviridae_genome.fasta,5,11146
Demerecviridae_genome.fasta,6,9545
Demerecviridae_genome.fasta,7,9221
Demerecviridae_genome.fasta,8,9162
Demerecviridae_genome.fasta,9,7335
Demerecviridae_genome.fasta,10,5923
Demerecviridae_genome.fasta,11,4658
Demerecviridae_genome.fasta,12,4052
Demerecviridae_genome.fasta,13,1430
Demerecviridae_genome.fasta,14,47
Demerecviridae_genome.fasta,15,47
Demerecviridae_genome.fasta,16,47
Demerecviridae_genome.fasta,17,47
Demerecviridae_genome.fasta,18,47
Demerecviridae_genome.fasta,19,47
Demerecviridae_genome.fasta,20,47
Demerecviridae_genome.fasta,21,45
Demerecviridae_genome.fasta,22,45
Demerecviridae_genome.fasta,23,45
Demerecviridae_genome.fasta,24,45
Demerecviridae_genome.fasta,25,45
Demerecviridae_genome.fasta,26,45
Demerecviridae_genome.fasta,27,42
Demerecviridae_genome.fasta,28,42
Demerecviridae_genome.fasta,29,42
Demerecviridae_genome.fasta,30,42
Demerecviridae_genome.fasta,31,42
Demerecviridae_genome.fasta,32,42
Demerecviridae_genome.fasta,33,42
Demerecviridae_genome.fasta,34,42
Demerecviridae_genome.fasta,35,42
Demerecviridae_genome.fasta,36,38
Demerecviridae_genome.fasta,37,38
Demerecviridae_genome.fasta,38,38
Demerecviridae_genome.fasta,39,38
Demerecviridae_genome.fasta,40,38
Demerecviridae_genome.fasta,41,38
Demerecviridae_genome.fasta,42,38
Demerecviridae_genome.fasta,43,38
Demerecviridae_genome.fasta,44,29
Demerecviridae_genome.fasta,45,27
Demerecviridae_genome.fasta,46,27
Demerecviridae_genome.fasta,47,27
Demerecviridae_genome.fasta,48,27
Demerecviridae_genome.fasta,49,27
Demerecviridae_genome.fasta,50,27
Demerecviridae_genome.fasta,51,18
Demerecviridae_genome.fasta,52,18
Demerecviridae_genome.fasta,53,18
Demerecviridae_genome.fasta,54,18
Demerecviridae_genome.fasta,55,18
Demerecviridae_genome.fasta,56,18
Demerecviridae_genome.fasta,57,18
Demerecviridae_genome.fasta,58,18
Demerecviridae_genome.fasta,59,18
Demerecviridae_genome.fasta,60,16
Demerecviridae_genome.fasta,61,16
Demerecviridae_genome.fasta,62,16
Demerecviridae_genome.fasta,63,16
Demerecviridae_genome.fasta,64,16
Demerecviridae_genome.fasta,65,16
Demerecviridae_genome.fasta,66,16
Drexlerviridae_genome.fasta,1,50861
Drexlerviridae_genome.fasta,2,36177
Drexlerviridae_genome.fasta,3,26632
Drexlerviridae_genome.fasta,4,8351
Drexlerviridae_genome.fasta,5,7905
Drexlerviridae_genome.fasta,6,4547
Drexlerviridae_genome.fasta,7,1132
Drexlerviridae_genome.fasta,8,47
Drexlerviridae_genome.fasta,9,47
Drexlerviridae_genome.fasta,10,47
Drexlerviridae_genome.fasta,11,47
Drexlerviridae_genome.fasta,12,47
Drexlerviridae_genome.fasta,13,47
Drexlerviridae_genome.fasta,14,47
Drexlerviridae_genome.fasta,15,47
Drexlerviridae_genome.fasta,16,47
Drexlerviridae_genome.fasta,17,47
Drexlerviridae_genome.fasta,18,47
Drexlerviridae_genome.fasta,19,47
Drexlerviridae_genome.fasta,20,47
Drexlerviridae_genome.fasta,21,40
Drexlerviridae_genome.fasta,22,40
Drexlerviridae_genome.fasta,23,40
Drexlerviridae_genome.fasta,24,40
Drexlerviridae_genome.fasta,25,40
Drexlerviridae_genome.fasta,26,40
Drexlerviridae_genome.fasta,27,36
Drexlerviridae_genome.fasta,28,36
Drexlerviridae_genome.fasta,29,36
Drexlerviridae_genome.fasta,30,36
Drexlerviridae_genome.fasta,31,36
Drexlerviridae_genome.fasta,32,36
Drexlerviridae_genome.fasta,33,36
Drexlerviridae_genome.fasta,34,36
Drexlerviridae_genome.fasta,35,36
Drexlerviridae_genome.fasta,36,31
Drexlerviridae_genome.fasta,37,31
Drexlerviridae_genome.fasta,38,31
Drexlerviridae_genome.fasta,39,31
Drexlerviridae_genome.fasta,40,31
Duneviridae_genome.fasta,1,12021
Forsetiviridae_genome.fasta,1,4560
Forsetiviridae_genome.fasta,2,3823
Fredfastierviridae_genome.fasta,1,4307
